iter	Passed	Remaining
0	5	5642
1	11	5603
2	17	5915
3	24	6053
4	29	5894
5	34	5708
6	40	5711
7	46	5743
8	51	5673
9	56	5633
10	62	5597
11	67	5517
12	72	5504
13	78	5547
14	83	5515
15	89	5502
16	94	5454
17	99	5411
18	104	5394
19	109	5389
20	115	5403
21	122	5452
22	127	5424
23	132	5406
24	138	5387
25	144	5404
26	149	5404
27	155	5403
28	160	5373
29	165	5351
30	171	5359
31	178	5404
32	184	5417
33	190	5413
34	196	5415
35	201	5402
36	209	5450
37	216	5481
38	222	5481
39	227	5465
40	232	5448
41	238	5442
42	245	5453
43	251	5463
44	257	5454
45	262	5447
46	269	5466
47	277	5502
48	283	5496
49	289	5493
50	294	5474
51	299	5465
52	306	5481
53	312	5476
54	318	5466
55	324	5468
56	329	5448
57	334	5430
58	340	5434
59	345	5419
60	351	5410
61	356	5395
62	361	5375
63	366	5363
64	372	5359
65	378	5350
66	383	5341
67	388	5318
68	393	5305
69	398	5293
70	404	5288
71	409	5281
72	415	5271
73	419	5253
74	424	5237
75	429	5225
76	435	5221
77	442	5228
78	447	5218
79	452	5207
80	458	5197
81	463	5185
82	469	5191
83	475	5180
84	480	5171
85	485	5160
86	490	5151
87	496	5147
88	504	5159
89	510	5158
90	515	5152
91	521	5145
92	526	5136
93	532	5128
94	538	5129
95	544	5129
96	549	5118
97	555	5111
98	561	5111
99	568	5120
100	574	5117
101	580	5110
102	585	5099
103	590	5091
104	598	5103
105	604	5098
106	609	5086
107	614	5076
108	619	5065
109	624	5055
110	631	5059
111	637	5053
112	642	5044
113	647	5034
114	652	5020
115	657	5012
116	663	5009
117	668	4999
118	673	4987
119	678	4977
120	683	4964
121	688	4956
122	694	4953
123	699	4942
124	705	4935
125	709	4922
126	714	4909
127	719	4900
128	725	4897
129	730	4888
130	735	4880
131	740	4867
132	744	4854
133	749	4842
134	754	4834
135	760	4831
136	765	4825
137	770	4815
138	775	4804
139	780	4792
140	785	4785
141	791	4784
142	797	4779
143	803	4776
144	807	4764
145	812	4753
146	817	4744
147	823	4743
148	829	4735
149	834	4726
150	839	4719
151	844	4712
152	849	4700
153	856	4703
154	860	4693
155	866	4686
156	871	4677
157	876	4668
158	880	4658
159	887	4659
160	892	4651
161	897	4642
162	902	4634
163	907	4625
164	911	4615
165	917	4609
166	923	4606
167	928	4600
168	933	4590
169	937	4579
170	942	4570
171	947	4560
172	953	4559
173	958	4551
174	963	4543
175	968	4535
176	973	4524
177	977	4515
178	983	4512
179	990	4510
180	995	4504
181	1000	4498
182	1005	4490
183	1011	4483
184	1016	4479
185	1021	4471
186	1026	4463
187	1031	4455
188	1036	4447
189	1041	4438
190	1046	4433
191	1052	4427
192	1057	4422
193	1063	4417
194	1068	4408
195	1072	4398
196	1077	4391
197	1083	4387
198	1088	4380
199	1093	4373
200	1098	4366
201	1103	4357
202	1107	4349
203	1114	4347
204	1119	4342
205	1125	4337
206	1129	4327
207	1134	4318
208	1139	4311
209	1145	4308
210	1150	4301
211	1155	4295
212	1160	4286
213	1164	4276
214	1168	4267
215	1174	4263
216	1180	4260
217	1186	4254
218	1191	4248
219	1196	4241
220	1201	4234
221	1207	4230
222	1213	4227
223	1218	4220
224	1223	4213
225	1227	4204
226	1232	4196
227	1237	4191
228	1244	4190
229	1250	4186
230	1256	4182
231	1260	4173
232	1265	4166
233	1271	4161
234	1277	4158
235	1283	4154
236	1288	4148
237	1293	4140
238	1297	4131
239	1303	4126
240	1309	4124
241	1314	4118
242	1319	4111
243	1324	4104
244	1329	4095
245	1333	4088
246	1340	4085
247	1345	4079
248	1350	4073
249	1355	4065
250	1359	4057
251	1364	4049
252	1370	4047
253	1376	4042
254	1382	4039
255	1387	4031
256	1392	4026
257	1397	4019
258	1405	4019
259	1410	4014
260	1416	4009
261	1421	4002
262	1425	3995
263	1430	3987
264	1436	3985
265	1441	3979
266	1447	3974
267	1452	3966
268	1457	3960
269	1462	3954
270	1470	3956
271	1476	3950
272	1482	3947
273	1487	3940
274	1492	3933
275	1497	3927
276	1504	3925
277	1509	3921
278	1515	3917
279	1520	3910
280	1525	3904
281	1531	3899
282	1537	3895
283	1543	3891
284	1549	3886
285	1554	3881
286	1560	3875
287	1567	3875
288	1573	3870
289	1578	3864
290	1583	3858
291	1588	3851
292	1594	3847
293	1601	3844
294	1606	3839
295	1611	3832
296	1616	3825
297	1620	3818
298	1626	3812
299	1632	3808
300	1637	3802
301	1642	3796
302	1647	3789
303	1652	3783
304	1657	3777
305	1664	3774
306	1669	3768
307	1674	3763
308	1679	3756
309	1685	3751
310	1691	3746
311	1697	3742
312	1702	3737
313	1708	3732
314	1713	3725
315	1718	3719
316	1723	3712
317	1730	3710
318	1735	3705
319	1740	3699
320	1746	3694
321	1750	3686
322	1755	3680
323	1762	3676
324	1767	3669
325	1772	3663
326	1777	3657
327	1781	3650
328	1786	3643
329	1792	3639
330	1798	3635
331	1804	3630
332	1809	3623
333	1813	3617
334	1818	3610
335	1824	3606
336	1830	3601
337	1835	3595
338	1840	3587
339	1844	3581
340	1849	3573
341	1855	3570
342	1861	3564
343	1866	3558
344	1870	3552
345	1875	3545
346	1880	3538
347	1885	3531
348	1890	3527
349	1895	3521
350	1901	3515
351	1905	3507
352	1910	3501
353	1914	3494
354	1921	3491
355	1926	3485
356	1932	3479
357	1936	3473
358	1941	3466
359	1946	3460
360	1951	3454
361	1957	3450
362	1962	3444
363	1967	3437
364	1972	3431
365	1977	3425
366	1982	3419
367	1988	3415
368	1994	3410
369	1999	3405
370	2004	3399
371	2009	3392
372	2014	3386
373	2020	3381
374	2025	3375
375	2030	3369
376	2035	3363
377	2039	3356
378	2045	3350
379	2051	3346
380	2057	3341
381	2062	3336
382	2066	3329
383	2071	3322
384	2076	3316
385	2082	3312
386	2087	3306
387	2092	3300
388	2097	3294
389	2102	3288
390	2106	3281
391	2112	3275
392	2118	3272
393	2124	3266
394	2129	3261
395	2134	3255
396	2140	3250
397	2145	3245
398	2151	3240
399	2157	3235
400	2162	3230
401	2167	3224
402	2172	3218
403	2178	3213
404	2184	3209
405	2189	3204
406	2195	3198
407	2200	3192
408	2205	3186
409	2210	3181
410	2216	3176
411	2222	3172
412	2228	3167
413	2233	3161
414	2238	3155
415	2243	3150
416	2249	3145
417	2254	3139
418	2260	3134
419	2265	3128
420	2270	3122
421	2275	3117
422	2281	3112
423	2286	3106
424	2292	3101
425	2297	3095
426	2302	3089
427	2307	3083
428	2313	3079
429	2318	3073
430	2324	3068
431	2329	3062
432	2334	3057
433	2340	3052
434	2346	3047
435	2353	3044
436	2358	3039
437	2364	3033
438	2369	3027
439	2375	3023
440	2381	3018
441	2386	3012
442	2392	3007
443	2397	3001
444	2402	2996
445	2408	2992
446	2414	2986
447	2419	2981
448	2424	2975
449	2429	2969
450	2433	2962
451	2440	2958
452	2445	2952
453	2450	2946
454	2455	2940
455	2460	2935
456	2465	2929
457	2471	2924
458	2476	2919
459	2481	2913
460	2486	2907
461	2491	2901
462	2496	2895
463	2502	2890
464	2508	2886
465	2514	2880
466	2518	2874
467	2523	2868
468	2528	2862
469	2534	2857
470	2540	2853
471	2546	2848
472	2551	2843
473	2556	2837
474	2561	2831
475	2567	2825
476	2573	2822
477	2579	2816
478	2584	2811
479	2589	2805
480	2595	2800
481	2602	2796
482	2607	2791
483	2613	2786
484	2618	2780
485	2623	2774
486	2629	2769
487	2636	2765
488	2642	2761
489	2648	2756
490	2653	2750
491	2658	2744
492	2663	2739
493	2669	2734
494	2675	2729
495	2680	2723
496	2684	2717
497	2690	2712
498	2696	2707
499	2703	2703
500	2709	2698
501	2714	2693
502	2719	2687
503	2724	2681
504	2730	2676
505	2736	2671
506	2742	2666
507	2747	2660
508	2751	2654
509	2756	2648
510	2763	2644
511	2769	2639
512	2775	2635
513	2780	2628
514	2785	2623
515	2791	2618
516	2798	2614
517	2804	2609
518	2810	2604
519	2815	2598
520	2821	2594
521	2827	2589
522	2833	2584
523	2839	2579
524	2844	2573
525	2849	2567
526	2854	2561
527	2860	2557
528	2866	2551
529	2871	2546
530	2876	2540
531	2882	2535
532	2887	2529
533	2893	2525
534	2900	2520
535	2906	2515
536	2910	2509
537	2916	2504
538	2922	2499
539	2928	2494
540	2933	2489
541	2938	2483
542	2943	2477
543	2948	2471
544	2954	2466
545	2960	2461
546	2965	2455
547	2970	2449
548	2975	2444
549	2979	2438
550	2985	2433
551	2992	2428
552	2997	2423
553	3003	2417
554	3008	2411
555	3012	2405
556	3018	2400
557	3023	2395
558	3029	2389
559	3035	2384
560	3039	2378
561	3044	2372
562	3049	2367
563	3056	2362
564	3061	2357
565	3066	2351
566	3071	2345
567	3076	2339
568	3082	2334
569	3087	2329
570	3093	2323
571	3098	2318
572	3102	2312
573	3107	2306
574	3111	2300
575	3118	2295
576	3123	2289
577	3128	2284
578	3133	2278
579	3138	2272
580	3143	2266
581	3148	2261
582	3154	2256
583	3160	2251
584	3165	2245
585	3170	2239
586	3174	2233
587	3180	2228
588	3186	2223
589	3192	2218
590	3197	2213
591	3202	2207
592	3208	2202
593	3215	2197
594	3220	2192
595	3226	2187
596	3231	2181
597	3236	2175
598	3241	2169
599	3247	2165
600	3253	2159
601	3258	2154
602	3263	2148
603	3268	2142
604	3273	2137
605	3280	2132
606	3285	2127
607	3290	2121
608	3295	2116
609	3300	2110
610	3305	2104
611	3311	2099
612	3316	2094
613	3322	2088
614	3326	2082
615	3331	2076
616	3336	2070
617	3342	2066
618	3348	2060
619	3353	2055
620	3358	2049
621	3362	2043
622	3367	2037
623	3373	2032
624	3379	2027
625	3384	2022
626	3390	2017
627	3395	2011
628	3400	2005
629	3406	2000
630	3411	1995
631	3417	1990
632	3422	1984
633	3427	1978
634	3432	1972
635	3437	1967
636	3443	1962
637	3448	1956
638	3453	1951
639	3458	1945
640	3463	1939
641	3468	1934
642	3474	1929
643	3479	1923
644	3484	1917
645	3489	1912
646	3494	1906
647	3499	1900
648	3505	1895
649	3510	1890
650	3516	1885
651	3520	1879
652	3526	1873
653	3530	1867
654	3536	1862
655	3541	1857
656	3547	1851
657	3551	1846
658	3556	1840
659	3561	1834
660	3566	1829
661	3572	1824
662	3577	1818
663	3582	1812
664	3587	1807
665	3592	1801
666	3596	1795
667	3603	1791
668	3609	1785
669	3614	1780
670	3618	1774
671	3623	1768
672	3627	1762
673	3633	1757
674	3638	1752
675	3644	1746
676	3649	1741
677	3654	1735
678	3658	1729
679	3664	1724
680	3670	1719
681	3675	1713
682	3680	1708
683	3685	1702
684	3689	1696
685	3694	1691
686	3700	1685
687	3705	1680
688	3710	1675
689	3715	1669
690	3720	1663
691	3724	1657
692	3730	1652
693	3735	1647
694	3740	1641
695	3745	1635
696	3750	1630
697	3755	1624
698	3760	1619
699	3766	1614
700	3772	1609
701	3777	1603
702	3782	1598
703	3787	1592
704	3793	1587
705	3799	1582
706	3804	1576
707	3809	1571
708	3813	1565
709	3819	1559
710	3824	1554
711	3830	1549
712	3835	1543
713	3840	1538
714	3845	1532
715	3850	1527
716	3855	1521
717	3861	1516
718	3866	1510
719	3871	1505
720	3875	1499
721	3880	1494
722	3885	1488
723	3892	1483
724	3897	1478
725	3902	1472
726	3907	1467
727	3912	1461
728	3917	1456
729	3921	1450
730	3927	1445
731	3933	1439
732	3939	1434
733	3943	1429
734	3948	1423
735	3953	1418
736	3958	1412
737	3963	1407
738	3969	1401
739	3974	1396
740	3978	1390
741	3983	1385
742	3989	1379
743	3995	1374
744	4001	1369
745	4006	1364
746	4011	1358
747	4016	1353
748	4022	1347
749	4027	1342
750	4033	1337
751	4038	1331
752	4042	1326
753	4047	1320
754	4052	1315
755	4058	1309
756	4063	1304
757	4068	1299
758	4073	1293
759	4078	1288
760	4084	1282
761	4090	1277
762	4095	1272
763	4101	1266
764	4105	1261
765	4110	1255
766	4115	1250
767	4120	1244
768	4126	1239
769	4131	1234
770	4136	1228
771	4141	1223
772	4145	1217
773	4151	1212
774	4157	1207
775	4163	1201
776	4167	1196
777	4173	1190
778	4178	1185
779	4183	1179
780	4189	1174
781	4194	1169
782	4200	1164
783	4205	1158
784	4210	1153
785	4215	1147
786	4221	1142
787	4226	1137
788	4232	1131
789	4237	1126
790	4241	1120
791	4246	1115
792	4252	1110
793	4257	1104
794	4263	1099
795	4267	1093
796	4272	1088
797	4277	1082
798	4282	1077
799	4288	1072
800	4294	1066
801	4299	1061
802	4303	1055
803	4307	1050
804	4313	1044
805	4319	1039
806	4324	1034
807	4329	1028
808	4334	1023
809	4339	1017
810	4343	1012
811	4349	1007
812	4355	1001
813	4360	996
814	4365	990
815	4370	985
816	4374	979
817	4380	974
818	4386	969
819	4391	964
820	4397	958
821	4402	953
822	4407	947
823	4413	942
824	4419	937
825	4424	932
826	4429	926
827	4434	921
828	4438	915
829	4444	910
830	4450	905
831	4455	899
832	4460	894
833	4464	888
834	4469	883
835	4474	877
836	4480	872
837	4485	867
838	4491	861
839	4495	856
840	4500	850
841	4505	845
842	4511	840
843	4517	834
844	4522	829
845	4527	824
846	4531	818
847	4536	813
848	4541	807
849	4547	802
850	4552	797
851	4557	791
852	4562	786
853	4567	780
854	4571	775
855	4577	770
856	4583	764
857	4589	759
858	4594	754
859	4598	748
860	4603	743
861	4609	737
862	4614	732
863	4620	727
864	4624	721
865	4629	716
866	4634	710
867	4639	705
868	4646	700
869	4651	695
870	4656	689
871	4660	684
872	4665	678
873	4670	673
874	4675	667
875	4680	662
876	4685	657
877	4690	651
878	4695	646
879	4700	640
880	4705	635
881	4710	630
882	4715	624
883	4720	619
884	4725	614
885	4730	608
886	4734	603
887	4741	597
888	4747	592
889	4752	587
890	4757	581
891	4761	576
892	4766	571
893	4773	565
894	4779	560
895	4783	555
896	4788	549
897	4793	544
898	4798	539
899	4804	533
900	4809	528
901	4815	523
902	4820	517
903	4824	512
904	4829	506
905	4834	501
906	4840	496
907	4845	490
908	4850	485
909	4855	480
910	4860	474
911	4865	469
912	4871	464
913	4876	458
914	4881	453
915	4886	448
916	4890	442
917	4896	437
918	4902	432
919	4906	426
920	4911	421
921	4916	415
922	4920	410
923	4926	405
924	4931	399
925	4937	394
926	4942	389
927	4947	383
928	4952	378
929	4957	373
930	4962	367
931	4968	362
932	4973	357
933	4977	351
934	4982	346
935	4988	341
936	4995	335
937	5001	330
938	5006	325
939	5011	319
940	5016	314
941	5021	309
942	5027	303
943	5032	298
944	5037	293
945	5042	287
946	5047	282
947	5052	277
948	5057	271
949	5062	266
950	5068	261
951	5073	255
952	5077	250
953	5082	245
954	5087	239
955	5094	234
956	5098	229
957	5104	223
958	5108	218
959	5113	213
960	5118	207
961	5124	202
962	5130	197
963	5135	191
964	5140	186
965	5145	181
966	5150	175
967	5156	170
968	5162	165
969	5169	159
970	5173	154
971	5178	149
972	5184	143
973	5190	138
974	5195	133
975	5200	127
976	5205	122
977	5210	117
978	5215	111
979	5221	106
980	5226	101
981	5231	95
982	5236	90
983	5241	85
984	5246	79
985	5251	74
986	5257	69
987	5262	63
988	5267	58
989	5272	53
990	5276	47
991	5282	42
992	5288	37
993	5293	31
994	5298	26
995	5302	21
996	5307	15
997	5312	10
998	5318	5
999	5324	0
